Tidspunkt,RAM_Brukt_MB,CPU_Temp_C,CPU_Last_%
22:38:13,6753,80.0,99
22:38:16,6748,81.0,95
22:38:18,6741,80.0,95
22:38:20,6737,81.0,98
22:38:23,6760,80.0,92
22:38:25,6778,80.0,92
22:38:28,6760,81.0,92
22:38:30,6781,80.0,97
22:38:32,6814,80.0,96
22:38:35,6812,78.0,95
22:38:37,6813,79.0,99
22:38:39,6811,79.0,100
22:38:42,6809,79.0,91
22:38:44,6802,77.0,91
22:38:46,6800,79.0,92
22:38:49,6794,78.0,95
22:38:51,6792,79.0,99
22:38:53,6795,80.0,95
22:38:56,6795,78.0,92
22:38:58,6802,78.0,97
22:39:00,6810,81.0,92
22:39:03,7137,82.0,95
22:39:05,7143,83.0,92
22:39:08,7137,82.0,97
22:39:10,7138,85.0,93
22:39:12,7135,84.0,96
22:39:15,7132,84.0,100
22:39:17,7145,83.0,95
22:39:19,7143,83.0,98
22:39:22,7143,84.0,100
22:39:24,7144,84.0,99
22:39:27,7149,85.0,94
22:39:29,7166,84.0,98
22:39:31,7154,85.0,100
22:39:34,7170,79.0,91
22:39:36,7209,81.0,97
22:39:39,7214,84.0,91
22:39:41,7215,84.0,94
22:39:44,7201,84.0,94
22:39:46,7208,82.0,100
22:39:48,7204,86.0,91
22:39:51,7197,80.0,92
22:39:53,7195,79.0,100
22:39:56,7193,80.0,95
22:39:58,7195,80.0,95
22:40:00,7192,81.0,95
22:40:03,7286,80.0,95
22:40:05,7280,80.0,99
22:40:07,7257,81.0,92
22:40:10,7256,81.0,100
22:40:12,7259,81.0,100
22:40:14,7237,79.0,95
22:40:17,7257,79.0,95
22:40:19,7230,79.0,96
22:40:21,7242,79.0,100
22:40:24,7231,78.0,99
22:40:26,7249,78.0,95
22:40:28,7239,78.0,95
22:40:31,7234,78.0,95
22:40:33,7238,80.0,95
22:40:35,6932,78.0,95
22:40:38,6908,80.0,99
22:40:40,6897,80.0,99
22:40:42,6886,77.0,99
22:40:45,6880,81.0,92
22:40:47,6885,77.0,99
